cohesion_kpa,friction_deg,slope_angle_deg,pore_pressure_ratio,density_kg_m3,charge_weight_kg,distance_m,burden_m,spacing_m,joint_spacing_m,joint_dip_deg,joint_persistence_pct,displacement_m,ppv_mm_s,damage_zone_m,fos_static,fos_method_a,fos_method_b
720.9,37.405,43.51,0.320586132733278,2862.52439026932,4499.4325557001,11.79,6.824,6.088,2.53778903515327,49.55,54.28,0.060905,470.35,0.387,2.69,0.735,0.822
232.3,25.105,47.86,0.249979940760521,2872.64399954323,3331.51351759531,13.575,4.79,6.744,3.89429485930648,37.5,90.58,0.055025,337.75,0.4,1.008,0.77,0.5
259.6,35.35,57.73,0.331352560708877,2127.86073058325,3991.06408673186,35.31,7.424,3.472,1.29638378528896,81.4,82.12,0.012412,227.34,0.088,1.447,1.152,0.5
399.6,37.255,44.98,0.149400163987522,2679.86550712589,937.991999342267,19.595,7.49,7.312,1.12794148959699,78.9,74.14,0.028895,221.55,0.198,1.914,0.941,0.581
440.2,37.735,43.75,0.247199857888079,2254.16949274668,4304.33482046267,21.415,5.906,3.96,2.92522096430027,74.25,46.42,0.033779,410.48,0.208,2.269,0.908,0.94
158.8,27.37,53.14,0.339892903894055,2927.54163421466,998.354435550135,8.535,2.276,2.88,0.662799889416269,55.05,66.7,0.303853,331.1,2.026,0.736,0.5,0.5
345.7,27.145,47.98,0.397440043271801,2464.96217254847,516.398785017047,19.105,4.28,7.8,4.51595991309538,56.45,73.24,0.026307,187.93,0.18,1.476,0.958,0.837
759.4,31.615,66.49,0.277824925863609,2640.02007119777,2334.48641281857,13.505,2.564,9.568,0.848131084671034,74.55,72.7599999999999,0.032062,436.86,0.219,3.0,0.92,0.927
441.6,38.275,59.59,0.389314265536632,2082.33089802485,3431.68267465987,12.315,6.494,3.136,2.05379854825649,38.45,62.62,0.076583,333.02,0.503,2.346,0.641,0.704
683.8,32.8,56.14,0.265138533446734,2627.74747093813,3124.63623355616,33.525,6.794,7.2,2.33374795440495,67.25,76.72,0.007836,236.74,0.054,2.707,1.33,1.033
316.299999999999,38.95,57.1,0.340903022098598,2992.27214513723,3272.83967218299,8.605,4.154,5.88,1.84059468364539,84.7,69.46,0.177986,344.39,1.199,1.329,0.5,0.5
423.4,35.86,49.9,0.312455274842348,2094.77096717995,3185.03695591862,12.595,3.476,6.592,3.52552624515969,71.1,44.44,0.089718,396.57,0.548,2.161,0.562,0.756
116.8,33.595,45.04,0.275610663727497,2229.63113862599,2692.37944782547,27.75,4.634,7.88,2.49348814781697,60.45,59.74,0.051382,263.08,0.334,0.926,0.792,0.5
272.9,35.7549999999999,50.02,0.203708810419668,2383.87747201352,4218.16399755825,39.09,7.202,3.696,4.97219590554948,70.6,97.48,0.008546,215.71,0.064,1.468,1.287,0.5
317.7,29.14,49.63,0.21572996718831,2093.56127719756,4582.86587762643,19.7,6.044,6.912,2.77245398487056,68.5,80.08,0.026232,375.05,0.184,1.678,0.958,0.503
475.2,33.79,69.85,0.347784751151532,2044.2587799816,4151.26072131478,33.0,5.624,6.304,1.62781863955014,84.4,95.62,0.00747,238.43,0.055,3.0,1.352,0.946
549.4,33.7,56.44,0.213538768992494,2474.52770110908,2411.40716135464,6.295,3.092,5.128,4.05013286079093,76.65,72.88,0.17172,438.73,1.171,2.395,0.5,0.719
496.2,32.995,49.0,0.291549590051932,2200.64203164615,2459.57311888275,27.645,7.688,2.048,3.88983228543368,52.3,56.14,0.016305,222.79,0.104,2.334,1.074,0.876
412.2,38.605,55.33,0.129449893510062,2111.16122128725,3766.15042010753,26.63,5.876,4.352,2.17699595889715,71.9,70.84,0.018319,388.3,0.124,2.253,1.034,0.713
347.1,27.94,48.19,0.370268618880293,2668.18656702405,1429.01100076643,33.91,3.836,3.776,3.78666389925176,53.5,49.42,0.014164,255.61,0.088,1.411,1.117,0.568
401.7,34.555,46.39,0.316839722025845,2988.24640203323,2815.05690804506,23.165,2.342,9.576,0.827206727331141,46.55,64.5399999999999,0.022201,392.06,0.147,1.591,0.985,0.544
218.3,25.6,41.17,0.276197896077196,2095.49379559636,1092.00987159506,24.74,6.446,8.78399999999999,1.5430746487929,80.7,99.04,0.015715,239.64,0.117,1.289,1.086,0.5
